transaction_id,account_id,transaction_amount,merchant_category,transaction_type,location,timestamp
T000072,A00214,52460,Groceries,UPI,Jaipur,2023-05-07 08:00:00
T000073,A00153,107314,Healthcare,Online,Hyderabad,2023-11-15 12:00:00
T000074,A00210,110268,Education,Online,Chennai,2023-02-16 06:00:00
T000075,A00401,90952,Electronics,UPI,Mumbai,2023-12-27 13:00:00
T000076,A00061,71331,Restaurants,Online,Coimbatore,2023-12-21 17:00:00
T000077,A00268,79514,Gambling,Online,Kolkata,2023-07-07 22:00:00
T000078,A00262,106364,Electronics,Debit,Mumbai,2023-03-20 02:00:00
T000079,A00218,4986,Jewelry,Online,Coimbatore,2023-05-07 15:00:00
T000080,A00283,3871,Gambling,Debit,Hyderabad,2023-02-22 08:00:00
T000081,A00136,96283,Healthcare,Online,Ahmedabad,2023-05-16 00:00:00
T000082,A00467,59170,Jewelry,Credit,Kolkata,2023-06-27 15:00:00
T000083,A00380,120811,Groceries,UPI,Pune,2023-08-08 13:00:00
T000084,A00362,46786,Travel,Credit,Jaipur,2023-11-18 13:00:00
T000085,A00449,47293,Gambling,UPI,Coimbatore,2023-02-28 17:00:00
T000086,A00441,80730,Jewelry,Debit,Kolkata,2023-03-18 08:00:00
T000087,A00093,91310,Restaurants,Credit,Bangalore,2023-03-26 08:00:00
T000088,A00109,125601,Education,UPI,Hyderabad,2023-08-28 00:00:00
T000089,A00241,44865,Groceries,Debit,Coimbatore,2023-07-28 01:00:00
T000090,A00355,125990,Clothing,Online,Bangalore,2023-11-15 02:00:00
T000091,A00424,93195,Electronics,Online,Delhi,2023-07-26 13:00:00
T000092,A00142,126684,Electronics,Debit,Hyderabad,2023-05-14 21:00:00
T000093,A00291,83864,Groceries,UPI,Bangalore,2023-09-16 16:00:00
T000094,A00432,135096,Clothing,Debit,Pune,2023-09-26 21:00:00
T000095,A00237,130630,Travel,UPI,Coimbatore,2023-04-25 17:00:00
T000096,A00340,48569,Gambling,UPI,Jaipur,2023-11-02 08:00:00
T000097,A00312,17018,Healthcare,UPI,Delhi,2023-01-13 17:00:00
T000098,A00177,40445,Restaurants,Online,Delhi,2023-02-27 16:00:00
T000099,A00141,139648,Groceries,UPI,Chennai,2023-05-21 07:00:00
T000100,A00189,40855,Education,Debit,Kolkata,2023-03-07 14:00:00
T000101,A00486,10961,Clothing,Online,Kolkata,2023-02-06 08:00:00
T000102,A00049,91341,Healthcare,UPI,Kolkata,2023-12-15 08:00:00
T000103,A00302,107099,Restaurants,Online,Delhi,2023-08-21 10:00:00
T000104,A00369,57505,Clothing,Online,Pune,2023-02-12 22:00:00
T000105,A00190,87881,Clothing,UPI,Pune,2023-11-20 12:00:00
T000106,A00136,54453,Restaurants,UPI,Ahmedabad,2023-10-08 11:00:00
T000107,A00043,18867,Restaurants,Debit,Mumbai,2023-10-15 17:00:00
T000108,A00404,57654,Jewelry,Online,Pune,2023-07-05 02:00:00
T000109,A00380,125374,Electronics,Credit,Pune,2023-06-02 19:00:00
T000110,A00353,112719,Healthcare,Online,Ahmedabad,2023-02-23 04:00:00
T000111,A00090,139740,Electronics,UPI,Kolkata,2023-10-01 01:00:00
T000112,A00295,121752,Groceries,Credit,Mumbai,2023-01-23 14:00:00
T000113,A00341,105466,Healthcare,Credit,Ahmedabad,2023-12-23 02:00:00
T000114,A00245,52750,Restaurants,UPI,Ahmedabad,2023-07-20 08:00:00
T000115,A00433,145551,Gambling,Online,Coimbatore,2023-11-19 03:00:00
T000116,A00192,68483,Groceries,Credit,Bangalore,2023-01-25 07:00:00
T000117,A00318,89678,Clothing,Credit,Kolkata,2023-01-22 06:00:00
T000118,A00106,54315,Jewelry,Online,Bangalore,2023-10-06 04:00:00
T000119,A00363,61312,Jewelry,UPI,Pune,2023-10-05 23:00:00
T000120,A00310,105717,Healthcare,Online,Kolkata,2023-11-17 15:00:00
T000121,A00382,45677,Electronics,Online,Ahmedabad,2023-05-25 17:00:00
T000122,A00233,100562,Jewelry,Debit,Mumbai,2023-02-19 22:00:00
T000123,A00265,118452,Restaurants,Credit,Delhi,2023-06-16 11:00:00
T000124,A00344,60099,Gambling,UPI,Jaipur,2023-07-08 23:00:00
T000125,A00037,124058,Restaurants,UPI,Coimbatore,2023-09-02 15:00:00
T000126,A00305,64483,Education,Credit,Mumbai,2023-05-18 15:00:00
T000127,A00041,135791,Groceries,Credit,Jaipur,2023-04-12 23:00:00
T000128,A00017,116981,Groceries,Credit,Ahmedabad,2023-11-19 11:00:00
T000129,A00344,32387,Travel,UPI,Jaipur,2023-10-13 04:00:00
T000130,A00277,59028,Travel,Online,Pune,2023-02-23 18:00:00
T000131,A00307,129995,Healthcare,Online,Bangalore,2023-09-01 02:00:00
T000132,A00059,20528,Jewelry,UPI,Mumbai,2023-11-11 13:00:00
T000133,A00423,142778,Clothing,Online,Coimbatore,2023-10-06 15:00:00
T000134,A00183,51238,Healthcare,Debit,Bangalore,2023-12-29 05:00:00
T000135,A00041,125706,Restaurants,Debit,Hyderabad,2023-11-06 12:00:00
T000136,A00039,89493,Clothing,UPI,Kolkata,2023-01-17 02:00:00
T000137,A00397,18232,Electronics,Online,Delhi,2023-12-25 11:00:00
T000138,A00192,81194,Education,Debit,Bangalore,2023-03-25 14:00:00
T000139,A00267,66554,Jewelry,Online,Delhi,2023-08-06 05:00:00
T000140,A00494,25795,Travel,Credit,Coimbatore,2023-03-31 11:00:00
T000141,A00147,129698,Education,Online,Delhi,2023-06-11 04:00:00
T000142,A00395,140069,Clothing,Debit,Delhi,2023-09-09 13:00:00
T000143,A00333,91611,Gambling,Debit,Bangalore,2023-10-04 13:00:00
T000144,A00127,4523,Healthcare,UPI,Bangalore,2023-01-15 16:00:00
T000145,A00046,64906,Education,UPI,Ahmedabad,2023-07-26 20:00:00
T000146,A00045,35310,Restaurants,Credit,Jaipur,2023-05-13 20:00:00
T000147,A00001,2695,Groceries,Debit,Coimbatore,2023-02-24 06:00:00
T000148,A00168,69711,Healthcare,UPI,Kolkata,2023-11-19 21:00:00
T000149,A00108,75277,Clothing,UPI,Bangalore,2023-02-05 06:00:00
T000150,A00019,85962,Gambling,UPI,Chennai,2023-11-10 09:00:00
T000151,A00332,34639,Restaurants,Credit,Hyderabad,2023-12-30 05:00:00
T000152,A00072,54927,Gambling,Credit,Pune,2023-04-16 04:00:00
T000153,A00456,50269,Clothing,Debit,Bangalore,2023-03-20 06:00:00
T000154,A00445,102096,Jewelry,Credit,Bangalore,2023-06-21 01:00:00
T000155,A00109,61668,Electronics,Debit,Hyderabad,2023-06-01 06:00:00
T000156,A00268,42195,Travel,Debit,Kolkata,2023-11-16 14:00:00
T000157,A00445,84792,Clothing,Debit,Bangalore,2023-10-05 19:00:00
T000158,A00240,140179,Travel,UPI,Ahmedabad,2023-04-28 11:00:00
T000159,A00417,60310,Clothing,Online,Hyderabad,2023-09-07 03:00:00
T000160,A00301,13477,Education,UPI,Chennai,2023-12-03 13:00:00
T000161,A00090,117890,Healthcare,UPI,Hyderabad,2023-04-14 17:00:00
T000162,A00103,122250,Electronics,Credit,Kolkata,2023-08-26 00:00:00
T000163,A00476,132972,Healthcare,UPI,Ahmedabad,2023-05-17 00:00:00
T000164,A00250,17292,Healthcare,Debit,Mumbai,2023-09-08 23:00:00
T000165,A00453,38001,Clothing,Online,Jaipur,2023-04-06 13:00:00
T000166,A00008,1069,Travel,Credit,Hyderabad,2023-01-29 02:00:00
T000167,A00153,51131,Electronics,Online,Kolkata,2023-09-18 17:00:00
T000168,A00347,36187,Gambling,Credit,Chennai,2023-02-12 03:00:00
T000169,A00174,37573,Electronics,UPI,Hyderabad,2023-01-10 16:00:00
T000170,A00343,30755,Restaurants,UPI,Chennai,2023-05-07 03:00:00
T000171,A00158,146431,Clothing,UPI,Chennai,2023-05-31 09:00:00
T000172,A00493,66023,Groceries,UPI,Bangalore,2023-04-01 13:00:00
T000173,A00431,45914,Healthcare,Credit,Chennai,2023-05-22 00:00:00
T000174,A00215,68125,Healthcare,Credit,Bangalore,2023-04-08 00:00:00
T000175,A00177,107111,Groceries,Debit,Delhi,2023-02-03 05:00:00
T000176,A00175,68526,Gambling,Credit,Bangalore,2023-10-24 17:00:00
T000177,A00340,66358,Groceries,Credit,Coimbatore,2023-06-03 12:00:00
T000178,A00338,9047,Education,UPI,Bangalore,2023-07-06 23:00:00
T000179,A00146,106981,Groceries,Debit,Ahmedabad,2023-11-17 10:00:00
T000180,A00450,65561,Clothing,Online,Hyderabad,2023-04-18 21:00:00
T000181,A00324,22610,Education,Credit,Delhi,2023-07-15 21:00:00
T000182,A00478,105177,Groceries,Online,Kolkata,2023-12-29 12:00:00
T000183,A00161,142379,Electronics,UPI,Hyderabad,2023-11-16 11:00:00
T000184,A00127,146245,Restaurants,UPI,Bangalore,2023-09-25 06:00:00
T000185,A00420,78283,Jewelry,Online,Pune,2023-03-02 23:00:00
T000186,A00082,139362,Healthcare,Online,Kolkata,2023-05-10 14:00:00
T000187,A00485,36955,Groceries,Debit,Chennai,2023-02-13 15:00:00
T000188,A00147,37946,Groceries,Credit,Delhi,2023-07-22 23:00:00
T000189,A00239,139314,Travel,Credit,Hyderabad,2023-08-09 09:00:00
T000190,A00412,92179,Healthcare,Credit,Delhi,2023-07-04 19:00:00
T000191,A00424,52570,Groceries,Credit,Bangalore,2023-12-15 08:00:00
T000192,A00084,107668,Clothing,Debit,Kolkata,2023-03-07 01:00:00
T000193,A00113,80049,Gambling,UPI,Kolkata,2023-11-24 11:00:00
T000194,A00225,868,Groceries,Online,Pune,2023-10-11 13:00:00
T000195,A00332,27355,Clothing,UPI,Hyderabad,2023-11-22 12:00:00
T000196,A00378,42046,Groceries,Debit,Pune,2023-09-19 22:00:00
T000197,A00243,136729,Restaurants,Credit,Mumbai,2023-11-23 19:00:00
T000198,A00143,93256,Education,UPI,Mumbai,2023-01-24 22:00:00
T000199,A00041,18791,Travel,Credit,Coimbatore,2023-06-17 08:00:00
T000200,A00423,99793,Clothing,Online,Jaipur,2023-10-29 03:00:00
T000201,A00258,141435,Jewelry,UPI,Jaipur,2023-06-17 16:00:00
T000202,A00447,79022,Gambling,Credit,Mumbai,2023-12-30 10:00:00
T000203,A00285,108265,Education,Debit,Chennai,2023-02-11 06:00:00
T000204,A00105,26093,Restaurants,Online,Ahmedabad,2023-03-30 08:00:00
T000205,A00202,114221,Restaurants,Credit,Jaipur,2023-07-26 20:00:00
T000206,A00450,104637,Education,Credit,Hyderabad,2023-04-12 17:00:00
T000207,A00307,12424,Electronics,Debit,Chennai,2023-09-02 21:00:00
T000208,A00331,93081,Electronics,Online,Jaipur,2023-04-16 00:00:00
T000209,A00461,70303,Education,Debit,Bangalore,2023-07-03 16:00:00
T000210,A00266,32483,Jewelry,Online,Chennai,2023-02-09 15:00:00
T000211,A00398,61180,Travel,Credit,Bangalore,2023-02-10 04:00:00
T000212,A00210,74759,Travel,Credit,Delhi,2023-03-30 22:00:00
T000213,A00051,13855,Education,Online,Bangalore,2023-07-05 14:00:00
T000214,A00118,100396,Travel,Credit,Pune,2023-04-04 12:00:00
T000215,A00201,39761,Education,UPI,Ahmedabad,2023-04-27 19:00:00
T000216,A00377,77377,Healthcare,Credit,Pune,2023-06-12 23:00:00
T000217,A00039,113793,Gambling,Online,Hyderabad,2023-02-28 16:00:00
T000218,A00028,88902,Travel,UPI,Coimbatore,2023-08-07 05:00:00
T000219,A00259,62336,Travel,Online,Delhi,2023-07-11 09:00:00
T000220,A00084,42594,Travel,UPI,Kolkata,2023-12-02 11:00:00
T000221,A00454,60580,Groceries,UPI,Kolkata,2023-12-27 13:00:00
T000222,A00155,70184,Travel,Debit,Mumbai,2023-11-16 07:00:00
T000223,A00117,58304,Clothing,Debit,Chennai,2023-10-24 09:00:00
T000224,A00002,14363,Gambling,UPI,Ahmedabad,2023-12-06 06:00:00
T000225,A00093,144278,Education,UPI,Kolkata,2023-09-23 17:00:00
T000226,A00166,83412,Clothing,UPI,Delhi,2023-12-25 16:00:00
T000227,A00387,15496,Groceries,Debit,Mumbai,2023-08-22 09:00:00
T000228,A00400,26555,Healthcare,Debit,Coimbatore,2023-02-27 20:00:00
T000229,A00350,114647,Education,Debit,Kolkata,2023-09-20 08:00:00
T000230,A00296,54590,Restaurants,UPI,Pune,2023-07-01 23:00:00
T000231,A00258,131820,Travel,UPI,Pune,2023-06-15 18:00:00
T000232,A00081,55646,Clothing,Online,Coimbatore,2023-07-07 02:00:00
T000233,A00425,64496,Healthcare,Credit,Ahmedabad,2023-02-05 12:00:00
T000234,A00268,33688,Clothing,Credit,Kolkata,2023-09-23 17:00:00
T000235,A00419,64302,Restaurants,Debit,Hyderabad,2023-09-28 21:00:00
T000236,A00235,115259,Jewelry,Debit,Ahmedabad,2023-12-05 02:00:00
T000237,A00321,114909,Electronics,Credit,Chennai,2023-12-18 04:00:00
T000238,A00311,21929,Groceries,Debit,Delhi,2023-02-14 00:00:00
T000239,A00301,103280,Restaurants,UPI,Jaipur,2023-04-05 04:00:00
T000240,A00463,84815,Healthcare,Credit,Bangalore,2023-02-07 20:00:00
T000241,A00474,37084,Groceries,UPI,Coimbatore,2023-01-19 17:00:00
T000242,A00357,133349,Clothing,Credit,Jaipur,2023-01-24 16:00:00
T000243,A00213,149855,Restaurants,Credit,Pune,2023-05-26 18:00:00
T000244,A00062,97142,Restaurants,Debit,Jaipur,2023-09-02 14:00:00
T000245,A00049,63376,Clothing,UPI,Kolkata,2023-02-24 12:00:00
T000246,A00127,11793,Clothing,UPI,Delhi,2023-01-30 21:00:00
T000247,A00223,135314,Jewelry,Online,Delhi,2023-05-20 09:00:00
T000248,A00409,116756,Healthcare,UPI,Coimbatore,2023-10-28 14:00:00
T000249,A00279,88664,Restaurants,UPI,Kolkata,2023-11-17 02:00:00
T000250,A00408,61391,Healthcare,Debit,Kolkata,2023-04-24 06:00:00
T000251,A00294,2572,Healthcare,Online,Pune,2023-03-02 15:00:00
T000252,A00284,80936,Gambling,UPI,Pune,2023-11-01 01:00:00
T000253,A00277,30649,Groceries,Debit,Pune,2023-10-21 03:00:00
T000254,A00438,78654,Jewelry,Credit,Coimbatore,2023-06-26 06:00:00
T000255,A00107,68746,Jewelry,UPI,Ahmedabad,2023-01-23 03:00:00
T000256,A00146,79242,Travel,Debit,Ahmedabad,2023-04-05 11:00:00
T000257,A00420,139973,Gambling,Credit,Chennai,2023-01-14 20:00:00
T000258,A00099,124037,Education,UPI,Kolkata,2023-08-07 17:00:00
T000259,A00429,109630,Clothing,UPI,Kolkata,2023-10-27 23:00:00
T000260,A00375,97447,Restaurants,Debit,Ahmedabad,2023-08-27 09:00:00
T000261,A00073,92458,Education,Credit,Mumbai,2023-11-30 20:00:00
T000262,A00437,119443,Electronics,Credit,Jaipur,2023-11-27 08:00:00
T000263,A00486,358,Education,Credit,Delhi,2023-09-28 20:00:00
T000264,A00122,138040,Travel,Credit,Coimbatore,2023-01-17 16:00:00
T000265,A00030,6917,Clothing,UPI,Chennai,2023-10-21 07:00:00
T000266,A00188,38612,Healthcare,Credit,Bangalore,2023-06-16 07:00:00
T000267,A00364,30956,Education,Debit,Jaipur,2023-02-14 01:00:00
T000268,A00354,143264,Groceries,Debit,Coimbatore,2023-11-27 13:00:00
T000269,A00288,96736,Travel,UPI,Delhi,2023-05-05 17:00:00
T000270,A00451,130671,Education,Debit,Kolkata,2023-12-10 01:00:00
T000271,A00195,82257,Electronics,Online,Mumbai,2023-01-02 02:00:00
T000272,A00156,36223,Groceries,UPI,Jaipur,2023-05-28 05:00:00
T000273,A00172,88621,Healthcare,Online,Mumbai,2023-04-20 02:00:00
T000274,A00335,1258,Gambling,Credit,Kolkata,2023-10-04 15:00:00
T000275,A00041,98998,Electronics,Online,Jaipur,2023-10-04 05:00:00
T000276,A00063,18234,Clothing,UPI,Chennai,2023-11-14 19:00:00
T000277,A00023,16886,Travel,Credit,Pune,2023-10-21 10:00:00
T000278,A00360,91033,Groceries,Debit,Bangalore,2023-03-26 02:00:00
T000279,A00075,55130,Electronics,UPI,Coimbatore,2023-07-23 06:00:00
T000280,A00048,10594,Groceries,Credit,Kolkata,2023-05-01 18:00:00
T000281,A00160,26373,Jewelry,UPI,Kolkata,2023-09-11 03:00:00
T000282,A00313,94140,Jewelry,Credit,Chennai,2023-03-27 07:00:00
T000283,A00118,145932,Travel,UPI,Ahmedabad,2023-08-05 18:00:00
T000284,A00100,38402,Gambling,UPI,Delhi,2023-03-06 22:00:00
T000285,A00380,70922,Clothing,UPI,Pune,2023-03-13 18:00:00
T000286,A00417,45640,Electronics,UPI,Bangalore,2023-06-18 20:00:00
T000287,A00408,38519,Education,Online,Kolkata,2023-03-10 19:00:00
T000288,A00167,134724,Electronics,Credit,Jaipur,2023-08-06 14:00:00
T000289,A00290,59671,Groceries,Credit,Kolkata,2023-03-16 02:00:00
T000290,A00440,48929,Education,UPI,Pune,2023-01-29 11:00:00
T000291,A00156,136168,Healthcare,UPI,Jaipur,2023-03-25 18:00:00
T000292,A00421,34332,Healthcare,Debit,Kolkata,2023-04-18 14:00:00
T000293,A00007,62183,Jewelry,Credit,Bangalore,2023-12-21 09:00:00
T000294,A00196,54134,Education,Online,Coimbatore,2023-11-07 03:00:00
T000295,A00421,39479,Clothing,Credit,Jaipur,2023-08-17 20:00:00
T000296,A00056,35968,Healthcare,Credit,Delhi,2023-01-19 11:00:00
T000297,A00321,26632,Groceries,Credit,Jaipur,2023-03-11 15:00:00
T000298,A00193,36961,Groceries,Debit,Chennai,2023-05-17 02:00:00
T000299,A00047,108632,Gambling,Online,Coimbatore,2023-11-06 09:00:00
T000300,A00148,134751,Healthcare,UPI,Chennai,2023-09-04 05:00:00
T000301,A00275,25719,Healthcare,Online,Ahmedabad,2023-10-20 06:00:00
T000302,A00157,21929,Groceries,UPI,Ahmedabad,2023-08-17 07:00:00
T000303,A00202,21012,Groceries,UPI,Bangalore,2023-11-22 19:00:00
T000304,A00444,143835,Education,Online,Coimbatore,2023-08-03 05:00:00
T000305,A00402,22204,Education,Debit,Pune,2023-01-30 19:00:00
T000306,A00476,148812,Jewelry,Debit,Jaipur,2023-02-07 03:00:00
T000307,A00419,148683,Groceries,UPI,Jaipur,2023-06-08 15:00:00
T000308,A00427,98335,Electronics,Debit,Delhi,2023-01-21 20:00:00
T000309,A00495,117572,Healthcare,Debit,Pune,2023-04-21 00:00:00
T000310,A00479,94528,Healthcare,Debit,Delhi,2023-04-08 05:00:00
T000311,A00475,55333,Travel,Debit,Chennai,2023-04-02 10:00:00
T000312,A00126,132221,Electronics,UPI,Jaipur,2023-10-17 01:00:00
T000313,A00395,103587,Clothing,Debit,Delhi,2023-12-24 07:00:00
T000314,A00305,67937,Travel,Online,Mumbai,2023-03-08 07:00:00
T000315,A00369,58598,Clothing,Online,Delhi,2023-07-30 19:00:00
T000316,A00294,114817,Groceries,UPI,Pune,2023-07-03 06:00:00
T000317,A00064,123766,Gambling,Credit,Mumbai,2023-07-05 00:00:00
T000318,A00325,110701,Travel,Debit,Ahmedabad,2023-03-16 07:00:00
T000319,A00392,129247,Clothing,Online,Mumbai,2023-08-13 09:00:00
T000320,A00418,116152,Education,Credit,Pune,2023-06-21 13:00:00
T000321,A00176,90741,Healthcare,Online,Ahmedabad,2023-10-18 22:00:00
T000322,A00116,73785,Jewelry,Online,Mumbai,2023-04-18 15:00:00
T000323,A00440,146204,Electronics,Credit,Pune,2023-12-19 06:00:00
T000324,A00204,46015,Travel,Debit,Pune,2023-04-12 06:00:00
T000325,A00486,109062,Travel,UPI,Delhi,2023-08-25 05:00:00
T000326,A00321,17479,Gambling,UPI,Chennai,2023-10-22 04:00:00
T000327,A00031,72501,Gambling,UPI,Bangalore,2023-12-24 15:00:00
T000328,A00388,79246,Clothing,Debit,Jaipur,2023-05-03 08:00:00
T000329,A00113,89516,Restaurants,Debit,Kolkata,2023-12-30 19:00:00
T000330,A00365,133803,Groceries,Online,Pune,2023-10-07 13:00:00
T000331,A00434,129240,Groceries,UPI,Pune,2023-06-30 03:00:00
T000332,A00325,98667,Travel,UPI,Ahmedabad,2023-10-03 16:00:00
T000333,A00414,61296,Restaurants,Online,Hyderabad,2023-04-11 19:00:00
T000334,A00376,13930,Jewelry,Online,Delhi,2023-02-28 07:00:00
T000335,A00344,43584,Jewelry,Credit,Bangalore,2023-03-28 20:00:00
T000336,A00443,94856,Restaurants,Credit,Bangalore,2023-11-22 04:00:00
T000337,A00067,25872,Electronics,Debit,Ahmedabad,2023-10-19 03:00:00
T000338,A00075,5216,Restaurants,UPI,Jaipur,2023-08-03 20:00:00
T000339,A00045,81939,Healthcare,Online,Jaipur,2023-08-10 05:00:00
T000340,A00260,123185,Electronics,UPI,Kolkata,2023-03-05 23:00:00
T000341,A00154,1736,Travel,Debit,Ahmedabad,2023-07-18 01:00:00
T000342,A00155,92438,Jewelry,UPI,Ahmedabad,2023-12-12 01:00:00
T000343,A00430,7911,Gambling,Online,Chennai,2023-10-21 16:00:00
T000344,A00363,146395,Education,Online,Pune,2023-06-24 14:00:00
T000345,A00448,141753,Electronics,Online,Mumbai,2023-03-10 22:00:00
T000346,A00475,21019,Restaurants,Debit,Chennai,2023-11-11 17:00:00
T000347,A00234,83118,Jewelry,Online,Mumbai,2023-11-07 12:00:00
T000348,A00051,133776,Healthcare,Credit,Bangalore,2023-12-23 13:00:00
T000349,A00306,129772,Travel,Online,Pune,2023-06-15 00:00:00
T000350,A00262,131379,Travel,UPI,Coimbatore,2023-10-12 18:00:00
T000351,A00315,139635,Restaurants,Online,Kolkata,2023-08-01 03:00:00
T000352,A00125,101872,Education,Online,Bangalore,2023-01-22 14:00:00
T000353,A00399,12771,Restaurants,UPI,Mumbai,2023-06-04 14:00:00
T000354,A00245,9576,Clothing,Debit,Mumbai,2023-02-04 13:00:00
T000355,A00030,5086,Education,Debit,Jaipur,2023-10-04 03:00:00
T000356,A00426,108258,Jewelry,Debit,Ahmedabad,2023-12-19 14:00:00
T000357,A00485,146698,Education,Debit,Chennai,2023-11-29 20:00:00
T000358,A00122,42101,Restaurants,Online,Coimbatore,2023-05-05 10:00:00
T000359,A00125,53342,Clothing,Online,Bangalore,2023-10-10 07:00:00
